iter	R2	RMSE
357	0.9869740151	43852.49766
358	0.9870012432	43806.64152
359	0.9870998595	43640.15344
360	0.9871228347	43601.27458
361	0.9871502233	43554.88191
362	0.9871759704	43511.22446
363	0.9872025995	43466.02553
364	0.9872264508	43425.50151
365	0.9872487179	43387.63479
366	0.98727443	43343.86866
367	0.9875546741	42863.94971
368	0.9875843761	42812.76965
369	0.9876107972	42767.19138
370	0.9876386953	42719.01256
371	0.9877236997	42571.87731
372	0.987789267	42458.03761
373	0.9878118567	42418.74599
374	0.9879630304	42154.85808
375	0.9879876258	42111.76799
376	0.9880933354	41926.0656
377	0.9881167337	41884.84996
378	0.9882003677	41737.19774
379	0.9883222328	41521.11006
380	0.9883534419	41465.58985
381	0.9883759144	41425.56584
382	0.9883997928	41382.99537
383	0.9884221442	41343.10763
384	0.9884409895	41309.44667
385	0.9885129731	41180.6188
386	0.9885781752	41063.57876
387	0.9886015615	41021.51827
388	0.988621629	40985.3922
389	0.9887316029	40786.84573
390	0.988753305	40747.55062
391	0.9888479167	40575.79641
392	0.9889120364	40458.98151
393	0.9890059344	40287.30458
394	0.9890520165	40202.78283
395	0.9891445075	40032.60168
396	0.9892183201	39896.26751
397	0.9892406893	39854.85875
398	0.989260777	39817.63666
399	0.9893177369	39711.9016
400	0.9894158975	39529.02189
401	0.9895200032	39334.13684
402	0.9895396359	39297.27623
403	0.9895612778	39256.60336
404	0.9895818956	39217.81581
405	0.9897515108	38897.25681
406	0.9897682639	38865.45134
407	0.9898212171	38764.74883
408	0.9898848825	38643.32751
409	0.9899475803	38523.37738
410	0.9900365534	38352.51502
411	0.990176455	38082.29997
412	0.9901994733	38037.65698
413	0.9902870051	37867.41251
414	0.9903079562	37826.54996
415	0.9903273147	37788.75454
416	0.9903492001	37745.97996
417	0.9903707774	37703.76011
418	0.9903880222	37669.98341
419	0.9904057317	37635.26514
420	0.9904235668	37600.26807
421	0.9904421336	37563.80067
422	0.9904926259	37464.44818
423	0.9905682629	37315.12426
424	0.9905864795	37279.07144
425	0.990670992	37111.35244
426	0.9907336301	36986.55357
427	0.9907515203	36950.83211
428	0.9907679054	36918.08555
429	0.9907856443	36882.60071
430	0.990802423	36849.00494
431	0.9908588703	36735.75636
432	0.990948727	36554.75538
433	0.9909748259	36502.01542
434	0.9909959385	36459.29581
435	0.9910107513	36429.29332
436	0.9910264592	36397.45111
437	0.9910564456	36336.58651
